,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
TRAPPIST-1g,TRAPPIST-1g,high,2,0,0,0,0,0,2,0,0,0,0.0,2016Natur.533..221G,10.93,1.14,2457665.3494,0.00021,-0.00021,BJD_TDB,Days,12.35294,0.00012,-0.00012,Days,2017Natur.542..456G,0.0,0.0,-0.0,89.71,False,0.03,-0.03,Degrees,0.0,0.0,-0.0,Degrees,0.0884,False,0.0015,-0.0015,None,83.2,False,0.6,-1.2,None,2017Natur.542..456G,0.2021,0.0096,-0.0096,0.2021,0.0,-0.0,TRAPPIST-1,23:06:29.3684,-05:02:29.031,18.798,16.466,15.645,5.18,0.05,-0.05,cm/s2,0.04,0.08,-0.08,dex Fe/H or M/H,2550.0,55.0,-55.0,Kelvin,2016Natur.533..221G,47.18,40.86,2.83,2457665.3494,0.00021,12.35294,0.00012
TRAPPIST-1h,TRAPPIST-1h,high,1,0,0,0,0,0,1,0,0,0,0.0,2016Natur.533..221G,4.89,1.2,2457662.5528,0.0004,-0.0004,BJD_TDB,Days,18.767,0.004,-0.004,Days,2017NatAs...1E.129L,0.0,0.0,-0.0,89.8,False,0.1,-0.05,Degrees,0.0,0.0,-0.0,Degrees,0.059,False,0.003,-0.003,None,117.0,False,50.0,-26.0,None,2017Natur.542..456G,0.132,0.011,-0.011,0.132,0.0,-0.0,TRAPPIST-1,23:06:29.3684,-05:02:29.031,18.798,16.466,15.645,5.18,0.05,-0.05,cm/s2,0.04,0.08,-0.08,dex Fe/H or M/H,2550.0,55.0,-55.0,Kelvin,2016Natur.533..221G,103.48,89.61,1.3,2457662.5528,0.0004,18.767,0.004
TrES-1b,TrES-1b,low,211,18,79,16,90,2,19,0,23,0,-0.044,2004ApJ...613L.153A,25.31,2.5,2456822.891157,6.3e-05,-6.3e-05,BJD_TDB,Days,3.030069476,7.2e-08,-7.2e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,90.0,False,0.0,-1.1,Degrees,0.0,0.0,-0.0,Degrees,0.1358,False,0.0003,-0.0003,None,10.52,False,0.02,-0.18,None,2008ApJ...677.1324T,0.0,0.0,-0.0,0.0,0.00032,-0.00032,TrES-1,19:04:09.8516,+36:37:57.445,11.42,11.34,11.556,4.57,0.01,-0.01,cm/s2,0.02,0.05,-0.05,dex Fe/H or M/H,5230.0,50.0,-50.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,78.06,2456822.891157,6.3e-05,3.030069476,7.2e-08
TrES-2b,TrES-2b,low,540,13,70,13,0,0,431,0,39,0,0.43,2006ApJ...651L..61O,15.53,1.79,2455706.8297691,4.1e-06,-4.1e-06,BJD_TDB,Days,2.470613372,2.4e-08,-2.4e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.872,False,0.02,-0.018,Degrees,0.0,0.0,-0.0,Degrees,0.1254,False,0.0005,-0.0005,None,7.903,False,0.019,-0.016,None,2015ApJ...804..150E,0.126927,1.3e-05,-1.3e-05,0.126927,0.0004,-0.0004,TrES-2,19:07:14.0379,+49:18:59.090,11.25,11.05,11.282,4.4,0.1,-0.1,cm/s2,-0.15,0.1,-0.1,dex Fe/H or M/H,5850.0,50.0,-50.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,48.09,2455706.8297691,4.1e-06,2.470613372,2.4e-08
TrES-3b,TrES-3b,low,274,34,144,34,0,0,58,0,72,0,-0.544,2007ApJ...663L..37O,28.34,1.38,2457585.914587,2.2e-05,-2.2e-05,BJD_TDB,Days,1.306186348,3.5e-08,-3.5e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,82.0,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.17,False,0.03,-0.03,None,6.0,False,0.8,-0.7,None,2011ApJ...726...94C,0.0,0.0,-0.0,0.0,0.00046,-0.00046,TrES-3,17:52:07.0185,+37:32:46.237,12.402,12.06,12.2,4.58,0.02,-0.01,cm/s2,-0.19,0.08,-0.08,dex Fe/H or M/H,5650.0,75.0,-75.0,Kelvin,2008ApJ...677.1324T,5.82,5.82,44.51,2457585.914587,2.2e-05,1.306186348,3.5e-08
TrES-4b,TrES-4b,low,42,9,16,9,0,0,20,0,6,0,0.17,2007ApJ...667L.195M,12.05,3.67,2457482.75059,0.00025,-0.00025,BJD_TDB,Days,3.55392889,4.4e-07,-4.4e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.1,False,0.5,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.1045,False,0.0007,-0.0007,None,6.14,False,0.24,-0.19,None,2015A&A...575L..15S,0.0,0.0,-0.0,0.0,0.00042,-0.00042,TrES-4,17:53:13.0490,+37:12:42.586,11.592,11.28,11.473,4.06,0.02,-0.02,cm/s2,0.14,0.09,-0.09,dex Fe/H or M/H,6200.0,75.0,-75.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,44.63,2457482.75059,0.00025,3.55392889,4.4e-07
TrES-5b,TrES-5b,low,116,13,68,13,0,0,17,0,31,0,-1.33,2011ApJ...741..114M,24.73,1.82,2457011.470352,7.7e-05,-7.7e-05,BJD_TDB,Days,1.482246865,9.3e-08,-9.3e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.65,False,0.24,-0.22,Degrees,0.0,0.0,-0.0,Degrees,0.142,False,0.0009,-0.0009,None,6.19,False,0.09,-0.08,None,2016AcA....66...55M,0.0,0.0,-0.0,0.0,0.0013,-0.0013,TrES-5,20:20:53.2483,+59:26:55.574,13.58,13.77,13.46,4.51,0.015,-0.015,cm/s2,0.2,0.08,-0.08,dex Fe/H or M/H,5171.0,36.0,-36.0,Kelvin,2011ApJ...741..114M,10.43,10.43,19.96,2457011.470352,7.7e-05,1.482246865,9.3e-08
V1298Taub,V1298Taub,high,0,0,0,0,0,0,0,0,0,0,0.0,2019AJ....158...79D,6.29,6.56,2457067.0496,0.0018,-0.0018,BJD_TDB,Days,24.1396,0.0018,-0.0018,Days,2019ApJ...885L..12D,0.0,0.0,-0.0,89.0,False,0.46,-0.24,Degrees,0.0,0.0,-0.0,Degrees,0.07,False,0.0023,-0.0023,None,27.0,False,1.1,-1.1,None,2019ApJ...885L..12D,0.0,0.0,-0.0,0.0,0.0,-0.0,V1298Tau,04:05:19.5912,+20:09:25.563,10.12,9.57,10.07,4.25,0.03,-0.03,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,4970.0,120.0,-120.0,Kelvin,2019AJ....158...79D,5.75,5.0,76.29,2457067.0496,0.0018,24.1396,0.0018
V1298Tauc,V1298Tauc,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...885L..12D,1.93,4.68,2457064.2797,0.0034,-0.0034,BJD_TDB,Days,8.24958,0.00072,-0.00072,Days,2019ApJ...885L..12D,0.0,0.0,-0.0,88.49,False,0.92,-0.72,Degrees,0.0,0.0,-0.0,Degrees,0.0381,False,0.0017,-0.0017,None,13.19,False,0.55,-0.55,None,2019ApJ...885L..12D,0.0,0.0,-0.0,0.0,0.0,-0.0,V1298Tau,04:05:19.5912,+20:09:25.563,10.12,9.57,10.07,4.25,0.03,-0.03,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,4970.0,120.0,-120.0,Kelvin,2019AJ....158...79D,19.55,16.93,19.67,2457064.2797,0.0034,8.24958,0.00072
V1298Taud,V1298Taud,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...885L..12D,2.56,5.49,2457072.3913,0.003,-0.003,BJD_TDB,Days,12.4032,0.0015,-0.0015,Days,2019ApJ...885L..12D,0.0,0.0,-0.0,89.04,False,0.65,-0.73,Degrees,0.0,0.0,-0.0,Degrees,0.0436,False,0.0024,-0.0024,None,17.31,False,0.72,-0.72,None,2019ApJ...885L..12D,0.0,0.0,-0.0,0.0,0.0,-0.0,V1298Tau,04:05:19.5912,+20:09:25.563,10.12,9.57,10.07,4.25,0.03,-0.03,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,4970.0,120.0,-120.0,Kelvin,2019AJ....158...79D,14.42,12.48,28.18,2457072.3913,0.003,12.4032,0.0015
V1298Taue,V1298Taue,high,0,0,0,0,0,0,0,0,0,0,0.0,2019ApJ...885L..12D,4.58,7.45,2457096.6229,0.0023,-0.0023,BJD_TDB,Days,60.0,60.0,-60.0,Days,2019ApJ...885L..12D,0.0,0.0,-0.0,89.4,False,0.26,-0.18,Degrees,0.0,0.0,-0.0,Degrees,0.0611,False,0.0052,-0.0052,None,54.9,True,1.3,-1.6,None,2019ApJ...885L..12D,0.0,0.0,-0.0,0.0,0.0,-0.0,V1298Tau,04:05:19.5912,+20:09:25.563,10.12,9.57,10.07,4.25,0.03,-0.03,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,4970.0,120.0,-120.0,Kelvin,2019AJ....158...79D,7.78,6.73,59.74,2457096.6229,0.0023,60.0,60.0
WASP-1b,WASP-1b,low,33,9,24,9,0,0,0,0,9,0,-0.36,2007MNRAS.375..951C,14.21,3.76,2456031.78981,0.0002,-0.0002,BJD_TDB,Days,2.51994701,3e-07,-3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,90.0,False,1.3,-1.3,Degrees,0.0,0.0,-0.0,Degrees,0.1036,False,0.0008,-0.0008,None,5.69,False,0.03,-0.06,None,2014AcA....64...27M,0.0,0.0,-0.0,0.0,0.0,-0.0,WASP-1,00:20:40.0746,+31:59:23.953,11.31,11.325,11.535,4.28,0.16,-0.16,cm/s2,0.26,0.08,-0.08,dex Fe/H or M/H,6110.0,75.0,-75.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,50.75,2456031.78981,0.0002,2.51994701,3e-07
WASP-2b,WASP-2b,low,64,12,49,12,0,0,0,0,15,0,-1.02,2007MNRAS.375..951C,19.49,1.77,2455229.043082,7.5e-05,-7.5e-05,BJD_TDB,Days,2.15222216,1.3e-07,-1.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.81,False,0.17,-0.17,Degrees,0.0,0.0,-0.0,Degrees,0.1326,False,0.0007,-0.0007,None,8.08,False,0.12,-0.12,None,2010MNRAS.408.1680S,0.0,0.0,-0.0,0.0,0.0,-0.0,WASP-2,20:30:54.1279,+06:25:46.338,11.98,11.308,11.564,4.54,0.04,-0.05,cm/s2,0.1,0.2,-0.2,dex Fe/H or M/H,5200.0,200.0,-200.0,Kelvin,2008ApJ...677.1324T,5.0,5.0,53.48,2455229.043082,7.5e-05,2.15222216,1.3e-07
WASP-3b,WASP-3b,low,130,6,32,6,0,0,22,0,76,0,-0.04,2008MNRAS.385.1576P,13.56,2.8,2456598.295066,7.5e-05,-7.5e-05,BJD_TDB,Days,1.846835096,7.4e-08,-7.4e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.15,False,0.16,-0.16,Degrees,0.0,0.0,-0.0,Degrees,0.105,False,0.012,-0.012,None,5.0,False,0.8,-0.6,None,2011ApJ...726...94C,0.0,0.0,-0.0,0.0,0.00023,-0.00023,WASP-3,18:34:31.6255,+35:39:41.489,10.63,10.52,10.453,4.25,0.05,-0.05,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,6400.0,100.0,-100.0,Kelvin,2008MNRAS.385.1576P,5.0,5.0,77.4,2456598.295066,7.5e-05,1.846835096,7.4e-08
WASP-4b,WASP-4b,low,118,7,25,7,0,0,47,0,46,0,-0.4,2008ApJ...675L.113W,31.37,2.17,2456139.07356,2.4e-05,-2.4e-05,BJD_TDB,Days,1.338231388,2.2e-08,-2.2e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.1,False,0.7,-0.8,Degrees,0.0,0.0,-0.0,Degrees,0.152,False,0.0004,-0.0004,None,5.451,False,0.023,-0.052,None,2019AJ....157..217B,0.0,0.0,-0.0,0.0,0.00026,-0.00026,WASP-4,23:34:15.0858,-42:03:41.049,12.48,11.9,12.316,4.3,0.2,-0.2,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,5500.0,150.0,-150.0,Kelvin,2008ApJ...675L.113W,5.54,5.54,54.55,2456139.07356,2.4e-05,1.338231388,2.2e-08
WASP-5b,WASP-5b,medium,64,2,10,2,0,0,27,0,27,0,-0.29,2008MNRAS.387L...4A,15.65,2.41,2456228.778748,7.2e-05,-7.2e-05,BJD_TDB,Days,1.628429971,6.6e-08,-6.6e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.6,False,0.8,-0.8,Degrees,0.0,0.0,-0.0,Degrees,0.1108,False,0.0011,-0.0011,None,5.37,False,0.15,-0.15,None,2011PASJ...63..287F,0.0,0.0,-0.0,0.0,0.00039,-0.00039,WASP-5,23:57:23.7565,-41:16:37.745,12.3,11.82,11.996,4.4,0.04,-0.05,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,5880.0,150.0,-150.0,Kelvin,2008MNRAS.387L...4A,5.41,5.41,34.83,2456228.778748,7.2e-05,1.628429971,6.6e-08
WASP-6b,WASP-6b,medium,32,2,8,2,0,0,13,0,11,0,0.74,2009A&A...501..785G,27.82,2.61,2455883.696962,6.5e-05,-6.5e-05,BJD_TDB,Days,3.36100215,1.6e-07,-1.6e-07,Days,2022arXiv220909673K,0.054,0.018,-0.015,88.5,False,0.7,-0.5,Degrees,1.7,0.12,-0.23,Degrees,0.1446,False,0.0009,-0.0009,None,10.9,True,0.3,-0.3,None,2009A&A...501..785G,0.0,0.0,-0.0,0.0,0.0004,-0.0004,WASP-6,23:12:37.7368,-22:40:26.277,11.91,11.735,11.976,4.5,0.06,-0.06,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5450.0,100.0,-100.0,Kelvin,2009A&A...501..785G,5.28,5.28,66.5,2455883.696962,6.5e-05,3.36100215,1.6e-07
WASP-7b,WASP-7b,high,8,1,2,1,1,0,4,0,1,0,5.05,2009ApJ...690L..89H,11.26,3.89,2458885.16439,0.00012,-0.00012,BJD_TDB,Days,4.95464969,7.6e-07,-7.6e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.0,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.0956,False,0.0016,-0.0016,None,9.52,True,0.2,-0.19,None,2011A&A...527A...8S,0.0,0.0,-0.0,0.0,0.00034,-0.00034,WASP-7,20:44:10.2207,-39:13:30.859,9.5,9.196,9.377,4.36,0.01,-0.05,cm/s2,0.0,0.1,-0.1,dex Fe/H or M/H,6400.0,100.0,-100.0,Kelvin,2009ApJ...690L..89H,5.0,5.0,131.72,2458885.16439,0.00012,4.95464969,7.6e-07
WASP-8b,WASP-8b,high,7,1,3,1,0,0,3,0,1,0,0.3,2010A&A...517L...1Q,15.33,4.41,2458301.80945,0.0001,-0.0001,BJD_TDB,Days,8.15872656,7.8e-07,-7.8e-07,Days,2022arXiv220909673K,0.31,0.0029,-0.0024,88.55,False,0.15,-0.17,Degrees,274.27,0.17,-0.18,Degrees,0.113,False,0.0015,-0.0015,None,18.2,False,0.8,-0.8,None,2010A&A...517L...1Q,0.0,0.0,-0.0,0.0,0.00026,-0.00026,WASP-8,23:59:36.0711,-35:01:52.923,9.87,9.91,9.612,4.5,0.05,-0.05,cm/s2,0.17,0.07,-0.07,dex Fe/H or M/H,5600.0,80.0,-80.0,Kelvin,2010A&A...517L...1Q,5.0,5.0,182.77,2458301.80945,0.0001,8.15872656,7.8e-07
WASP-10b,WASP-10b,low,95,6,62,6,0,0,0,0,33,0,-0.75,2009MNRAS.392.1585C,34.78,2.27,2456253.700518,8.2e-05,-8.2e-05,BJD_TDB,Days,3.09272813,1.7e-07,-1.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.49,False,0.22,-0.17,Degrees,0.0,0.0,-0.0,Degrees,0.1592,False,0.0011,-0.0011,None,11.65,False,0.09,-0.13,None,2009ApJ...692L.100J,0.0,0.0,-0.0,0.0,0.0,-0.0,WASP-10,23:15:58.3005,+31:27:46.294,12.7,12.03,12.174,4.4,0.2,-0.2,cm/s2,0.03,0.2,-0.2,dex Fe/H or M/H,4675.0,100.0,-100.0,Kelvin,2009MNRAS.392.1585C,5.76,5.76,74.99,2456253.700518,8.2e-05,3.09272813,1.7e-07
WASP-11b,WASP-11b,low,60,16,43,16,0,0,4,0,13,0,-0.36,2009A&A...502..395W,23.79,2.58,2456646.984352,7.6e-05,-7.6e-05,BJD_TDB,Days,3.72247919,1.8e-07,-1.8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.1,False,0.5,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.131,False,0.0008,-0.0008,None,12.3,False,0.11,-0.11,None,2014AJ....147...92W,0.0,0.0,-0.0,0.0,0.00061,-0.00061,WASP-11,03:09:28.5427,+30:40:24.868,11.57,11.42,11.554,4.45,0.2,-0.2,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,4800.0,100.0,-100.0,Kelvin,2009A&A...502..395W,5.0,5.0,78.46,2456646.984352,7.6e-05,3.72247919,1.8e-07
WASP-12b,WASP-12b,low,344,27,90,27,0,0,80,0,174,0,-2.115,2009ApJ...693.1920H,17.81,3.0,2457036.706177,5.5e-05,-5.5e-05,BJD_TDB,Days,1.091419179,4.3e-08,-4.3e-08,Days,2022arXiv220909673K,0.0,0.0,-0.0,83.4,False,0.7,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.1178,False,0.0005,-0.0005,None,3.04,False,0.03,-0.03,None,2017AJ....153...78C,0.0,0.0,-0.0,0.0,0.00016,-0.00016,WASP-12,06:30:32.7966,+29:40:20.266,11.57,11.288,11.5,4.18,0.06,-0.06,cm/s2,0.3,0.05,-0.15,dex Fe/H or M/H,6300.0,200.0,-200.0,Kelvin,2009ApJ...693.1920H,5.0,5.0,58.67,2457036.706177,5.5e-05,1.091419179,4.3e-08
WASP-13b,WASP-13b,medium,34,3,11,3,11,0,6,0,6,0,1.61,2009A&A...502..391S,10.97,3.89,2457077.3036,0.00028,-0.00028,BJD_TDB,Days,4.35301101,6.6e-07,-6.6e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.9,False,1.6,-1.2,Degrees,0.0,0.0,-0.0,Degrees,0.0933,False,0.0021,-0.0021,None,8.51,False,0.21,-0.21,None,2009A&A...502..391S,0.0,0.0,-0.0,0.0,0.00037,-0.00037,WASP-13,09:20:24.7143,+33:52:56.699,10.42,10.17,10.38,4.04,0.2,-0.2,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,5826.0,100.0,-100.0,Kelvin,2009A&A...502..391S,5.0,5.0,78.87,2457077.3036,0.00028,4.35301101,6.6e-07
WASP-14b,WASP-14b,low,24,4,15,4,0,0,0,0,9,0,1.45,2009MNRAS.392.1532J,10.53,2.85,2455798.61781,0.00013,-0.00013,BJD_TDB,Days,2.24376639,2.3e-07,-2.3e-07,Days,2022arXiv220909673K,0.083,0.003,-0.003,84.63,False,0.24,-0.24,Degrees,252.7,0.7,-0.8,Degrees,0.0942,False,0.0004,-0.0004,None,5.99,False,0.09,-0.09,None,2015ApJ...811..122W,0.0,0.0,-0.0,0.0,0.0,-0.0,WASP-14,14:33:06.3573,+21:53:40.982,9.745,9.465,9.646,4.29,0.07,-0.07,cm/s2,0.0,0.2,-0.2,dex Fe/H or M/H,6475.0,100.0,-100.0,Kelvin,2009MNRAS.392.1532J,5.0,5.0,92.64,2455798.61781,0.00013,2.24376639,2.3e-07
WASP-15b,WASP-15b,medium,15,0,4,0,2,0,4,0,5,0,-0.81,2009AJ....137.4834W,11.0,3.75,2456310.66382,0.00016,-0.00016,BJD_TDB,Days,3.75209956,5.3e-07,-5.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.7,False,0.4,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.0951,False,0.0008,-0.0008,None,7.3,False,0.18,-0.17,None,2013MNRAS.434.1300S,0.0,0.0,-0.0,0.0,0.00056,-0.00056,WASP-15,13:55:42.7119,-32:09:34.615,10.91,10.604,10.797,4.17,0.06,-0.06,cm/s2,-0.17,0.11,-0.11,dex Fe/H or M/H,6300.0,100.0,-100.0,Kelvin,2009AJ....137.4834W,5.0,5.0,60.07,2456310.66382,0.00016,3.75209956,5.3e-07
WASP-16b,WASP-16b,low,27,4,10,4,6,0,6,0,5,0,-0.46,2009ApJ...703..752L,13.62,2.1,2456355.79653,0.00013,-0.00013,BJD_TDB,Days,3.11860349,2.7e-07,-2.7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.0,False,0.3,-0.3,Degrees,0.0,0.0,-0.0,Degrees,0.119,False,0.0022,-0.0022,None,8.21,False,0.21,-0.2,None,2013MNRAS.434.1300S,0.0,0.0,-0.0,0.0,0.00075,-0.00075,WASP-16,14:18:43.9226,-20:16:31.842,11.29,11.0,11.125,4.49,0.08,-0.08,cm/s2,0.01,0.1,-0.1,dex Fe/H or M/H,5700.0,150.0,-150.0,Kelvin,2009ApJ...703..752L,5.0,5.0,51.52,2456355.79653,0.00013,3.11860349,2.7e-07
WASP-17b,WASP-17b,medium,20,0,3,0,0,0,12,0,5,0,0.11,2010ApJ...709..159A,19.46,4.35,2457569.98347,0.00012,-0.00012,BJD_TDB,Days,3.73548545,2.6e-07,-2.6e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.1,False,0.6,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.1235,False,0.0011,-0.0011,None,7.03,False,0.15,-0.15,None,2016A&A...596A..47S,0.0,0.0,-0.0,0.0,0.00032,-0.00032,WASP-17,15:59:50.9489,-28:03:42.309,11.59,11.31,11.38,4.24,0.13,-0.13,cm/s2,-0.25,0.09,-0.09,dex Fe/H or M/H,6550.0,100.0,-100.0,Kelvin,2010ApJ...709..159A,5.0,5.0,80.14,2457569.98347,0.00012,3.73548545,2.6e-07
WASP-18b,WASP-18b,high,109,3,7,3,2,0,89,0,11,0,-1.47,2009Natur.460.1098H,12.09,2.18,2458501.324483,1.9e-05,-1.9e-05,BJD_TDB,Days,0.941452417,1.9e-08,-1.9e-08,Days,2022arXiv220909673K,0.0091,0.0012,-0.0012,84.9,False,0.3,-0.3,Degrees,269.0,3.0,-3.0,Degrees,0.09716,False,0.00014,-0.00014,None,3.562,False,0.022,-0.023,None,2019AJ....157..178S,0.0,0.0,-0.0,0.0,6e-05,-6e-05,WASP-18,01:37:25.0335,-45:40:40.376,9.3,8.979,9.166,4.4,0.15,-0.15,cm/s2,0.0,0.09,-0.09,dex Fe/H or M/H,6400.0,100.0,-100.0,Kelvin,2009Natur.460.1098H,5.0,5.0,116.95,2458501.324483,1.9e-05,0.941452417,1.9e-08
WASP-19b,WASP-19b,low,131,10,37,10,0,0,55,0,39,0,-1.007,2010ApJ...708..224H,22.96,1.66,2456885.482836,3.7e-05,-3.7e-05,BJD_TDB,Days,0.788839092,2.4e-08,-2.4e-08,Days,2022arXiv220909673K,0.002,0.014,-0.002,78.8,False,0.6,-0.6,Degrees,259.0,13.0,-170.0,Degrees,0.1409,False,0.0013,-0.0013,None,3.46,False,0.08,-0.08,None,2016ApJ...823..122W,0.0,0.0,-0.0,0.0,0.00035,-0.00035,WASP-19,09:53:40.0764,-45:39:33.055,12.31,12.12,12.109,4.5,0.2,-0.2,cm/s2,0.2,0.09,-0.09,dex Fe/H or M/H,5500.0,100.0,-100.0,Kelvin,2010ApJ...708..224H,5.92,5.92,41.45,2456885.482836,3.7e-05,0.788839092,2.4e-08
WASP-20b,WASP-20b,high,19,1,7,1,1,0,10,0,1,0,-0.37,2015A&A...575A..61A,12.25,3.29,2458087.08446,0.00013,-0.00013,BJD_TDB,Days,4.89964477,5.1e-07,-5.1e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,86.8,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.101,False,0.005,-0.005,None,10.6,True,0.08,-0.08,None,2016ApJ...833L..19E,0.0,0.0,-0.0,0.0,0.00032,-0.00032,WASP-20,00:20:38.5321,-23:56:08.793,10.779,10.439,10.65,4.23,0.02,-0.02,cm/s2,-0.01,0.06,-0.06,dex Fe/H or M/H,5940.0,100.0,-100.0,Kelvin,2015A&A...575A..61A,5.0,5.0,70.29,2458087.08446,0.00013,4.89964477,5.1e-07
WASP-21b,WASP-21b,medium,18,2,8,2,0,0,0,0,10,0,0.14,2010A&A...519A..98B,14.28,3.4,2457738.54027,0.00017,-0.00017,BJD_TDB,Days,4.32250416,8e-07,-8e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.8,False,0.8,-0.7,Degrees,0.0,0.0,-0.0,Degrees,0.104,False,0.0018,-0.0018,None,10.54,False,0.15,-0.15,None,2010A&A...519A..98B,0.0,0.0,-0.0,0.0,0.0,-0.0,WASP-21,23:09:58.2534,+18:23:45.882,11.55,11.52,11.399,4.2,0.1,-0.1,cm/s2,-0.46,0.11,-0.11,dex Fe/H or M/H,5800.0,100.0,-100.0,Kelvin,2010A&A...519A..98B,5.0,5.0,53.9,2457738.54027,0.00017,4.32250416,8e-07
WASP-22b,WASP-22b,low,21,5,8,5,0,0,5,0,8,0,-0.11,2010AJ....140.2007M,12.55,3.48,2456850.43601,0.00015,-0.00015,BJD_TDB,Days,3.53272912,4.5e-07,-4.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.6,False,1.0,-1.0,Degrees,0.0,0.0,-0.0,Degrees,0.0978,False,0.0012,-0.0012,None,8.38,False,0.19,-0.19,None,2016MNRAS.457.4205S,0.0,0.0,-0.0,0.0,0.00066,-0.00066,WASP-22,03:31:16.3269,-23:49:10.841,11.99,11.41,11.582,4.37,0.02,-0.02,cm/s2,-0.05,0.08,-0.08,dex Fe/H or M/H,6000.0,100.0,-100.0,Kelvin,2010AJ....140.2007M,5.0,5.0,41.82,2456850.43601,0.00015,3.53272912,4.5e-07
WASP-23b,WASP-23b,low,39,3,18,3,0,0,15,0,6,0,0.42,2011A&A...531A..24T,22.7,2.41,2457301.723609,7.7e-05,-7.7e-05,BJD_TDB,Days,2.9444273,1.4e-07,-1.4e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.4,False,0.8,-0.5,Degrees,0.0,0.0,-0.0,Degrees,0.13,False,0.0004,-0.0004,None,10.21,True,0.19,-0.19,None,2011A&A...531A..24T,0.0,0.0,-0.0,0.0,0.00046,-0.00046,WASP-23,06:44:30.6134,-42:45:42.666,12.52,12.31,12.321,4.56,0.09,-0.09,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5150.0,100.0,-100.0,Kelvin,2011A&A...531A..24T,6.29,6.29,43.63,2457301.723609,7.7e-05,2.9444273,1.4e-07
