,transit_count,transit_spacing,measurement_unc,planet,prob_dP_dE_less_than_0,decay_rate_variance,log_decay_rate_variance,marker_size
4614,273,4.0,20.22410395860484,NA,,0.00028688704724047005,-3.5422890594186125,1.0
4615,273,4.0,23.11554562698096,NA,,0.0003747836709893424,-3.426219339218915,1.0
4616,273,4.0,26.420376928773408,NA,,0.0004896101144730735,-3.3101496190192137,1.0
4617,273,4.0,30.19770021105189,NA,,0.0006396171518399781,-3.1940798988195156,1.0
4618,273,4.0,34.51506768790446,NA,,0.000835583434317283,-3.078010178619814,1.0
4619,273,4.0,39.4496895185625,NA,,0.0010915899826903681,-2.961940458420113,1.0
4620,273,4.0,45.08981460454634,NA,,0.001426031969247361,-2.8458707382204156,1.0
4621,273,4.0,51.53630879948287,NA,,0.0018629404900762396,-2.729801018020718,1.0
4622,273,4.0,58.90445875569993,NA,,0.0024337093027425255,-2.6137312978210145,1.0
4623,273,4.0,67.3260336669042,NA,,0.003179350602881058,-2.4976615776213174,1.0
4624,273,4.0,76.9516417783653,NA,,0.004153441926958714,-2.3815918574216153,1.0
4625,273,4.0,87.95342380753897,NA,,0.005425975928853485,-2.265522137221915,1.0
4626,273,4.0,100.52813144323909,NA,,0.007088389653266465,-2.149452417022217,1.0
4627,273,4.0,114.90064597806963,NA,,0.009260134680905596,-2.033382696822519,1.0
4628,273,4.0,131.328,NA,,0.012097260238648974,-1.9173129766228176,1.0
4629,273,5.0,10.367999999999999,NA,,3.088319954553718e-05,-4.510277712449337,1.0
4630,273,5.0,11.850313742012215,NA,,4.0345212545866514e-05,-4.3942079922496395,1.0
4631,273,5.0,13.544553991524262,NA,,5.2706202703222425e-05,-4.278138272049941,1.0
4632,273,5.0,15.48101989729806,NA,,6.885436035899101e-05,-4.162068551850241,1.0
4633,273,5.0,17.694342479679374,NA,,8.995000013833192e-05,-4.045998831650539,1.0
4634,273,5.0,20.22410395860484,NA,,0.00011750893454969589,-3.9299291114508406,1.0
4635,273,5.0,23.11554562698096,NA,,0.000153511391637235,-3.8138593912511394,1.0
4636,273,5.0,26.420376928773408,NA,,0.00020054430288817058,-3.69778967105144,1.0
4637,273,5.0,30.19770021105189,NA,,0.0002619871853936552,-3.581719950851741,1.0
4638,273,5.0,34.51506768790446,NA,,0.00034225497469635667,-3.465650230652043,1.0
4639,273,5.0,39.4496895185625,NA,,0.0004471152569099743,-3.349580510452339,1.0
4640,273,5.0,45.08981460454634,NA,,0.0005841026946037221,-3.233510790252639,1.0
4641,273,5.0,51.53630879948287,NA,,0.0007630604247352356,-3.1174410700529394,1.0
4642,273,5.0,58.90445875569993,NA,,0.0009968473304033368,-3.0013713498532413,1.0
4643,273,5.0,67.3260336669042,NA,,0.001302262006940088,-2.885301629653541,1.0
4644,273,5.0,76.9516417783653,NA,,0.0017012498132822835,-2.7692319094538425,1.0
4645,273,5.0,87.95342380753897,NA,,0.0022224797404583776,-2.6531621892541426,1.0
