,planet,num_transits,mu,sd,prob_decay
109,hats42,21,-13.410113263021461,23.20931201788595,0.7257257496277016
110,hats43,19,0.5508462805886614,2.9999035077640284,0.4240702680526859
111,hats45,17,-0.5066543536708585,3.920829293891185,0.5539003721799323
112,hats46,19,2.233479168010075,5.6159896565469385,0.3390740365413584
113,hats47,11,1.7279485362547347,8.875683861534357,0.4167630312129741
114,hats48a,15,104.81769408262129,406.2929310591564,0.3922911630008513
115,hats5,13,0.436884218401719,1.5190770809708602,0.37975178816020905
116,hats51,30,0.14237111969336497,1.2131409989925153,0.45191639363356684
117,hats52,23,0.14188686066049191,0.25525749267332315,0.28223995255033646
118,hats53,12,14.519124079000935,67.3130872427462,0.40859919885139073
119,hats55,6,119.15344233829636,446.9132661469951,0.38080377574526986
120,hats56,6,181.33910403985337,333.08339293224026,0.26999441685412967
121,hats57,25,1.598806309742251,0.6764088739892137,0.010593701399636874
122,hats58a,6,-99.19591750237116,288.5972483708093,0.6518093100560414
123,hats59,5,-172.48462181083627,557.3969643349318,0.6411288433255562
124,hats6,26,0.017712653743711164,0.6270876908404955,0.4883541420244973
125,hats60,17,-0.2862658845967282,9.291384658398494,0.5129824216353914
126,hats63,16,-27.069163448318463,70.00493542535916,0.6575896978326126
127,hats64,5,704.7820937280903,609.8455655204623,0.1033491929250286
128,hats65,8,5.098554167654487,41.98518839239225,0.44597487535746083
129,hats67,19,-10.827450315520622,5.300776517787701,0.9780316771080688
130,hats68,26,5.676637054813234,3.5914557744116293,0.05584098164737365
131,hats69,11,-47.374202634339696,95.27048741904815,0.7032587836332316
132,hats7,13,1.1067966767075477,2.7352899504995927,0.3327329366964733
133,hats70,26,23.723926912542915,24.254824581184405,0.1580546626316038
134,hats71,25,-3.0701273331570738,2.8636120799982367,0.8635282871398435
135,hats72,5,8.425859920171874,37.77905475450459,0.396946427583985
136,hd14926,29,-0.08474559933793607,0.3632756942190875,0.5949700390646758
137,hd16315c,8,-1153.1943716351925,201.1149240701859,0.9999443880679874
138,hd17156,16,-1.1530201049924764,14.613537622024923,0.533210728422074
139,hd18236,9,325.3395999064012,174.55808494092437,0.03189587532088523
140,hd18236c,10,242.2228965113924,177.57275723767114,0.07985760005934703
141,hd18236d,6,4018.526745382434,3877.5356795746384,0.1298770277649183
142,hd18236e,5,-743.667710604934,3445.480348113628,0.59982091708279
143,hd189733,171,0.016693871884837466,0.006433500067086201,0.0049290493811598255
144,hd191939,26,167.11150244060832,101.42078207684415,0.049062354755355815
