planet  transit_time 	error      	source         	ID             
G9-40b         2459532.0569   	0.0016         	space          	G9-40b_1390_2021-11-13_TESS
G9-40b         2459537.8043   	0.0033         	space          	G9-40b_1391_2021-11-19_TESS
G9-40b         2459543.5492   	0.0021         	space          	G9-40b_1392_2021-11-25_TESS
G9-40b         2459549.2948   	0.0017         	space          	G9-40b_1393_2021-11-30_TESS
G9-40b         2459555.0405   	0.0013         	space          	G9-40b_1394_2021-12-06_TESS
G9-40b         2459560.7867   	0.0016         	space          	G9-40b_1395_2021-12-12_TESS
G9-40b         2459578.0225   	0.0017         	space          	G9-40b_1398_2021-12-29_TESS
GJ357b         2458517.99574  	0.001          	space          	GJ357b_1774_2019-02-03_TESS
GJ357b         2458521.9338   	0.0017         	space          	GJ357b_1775_2019-02-07_TESS
GJ357b         2458525.8638   	0.0011         	space          	GJ357b_1776_2019-02-11_TESS
GJ357b         2458537.6509   	0.0061         	space          	GJ357b_1779_2019-02-23_TESS
GJ357b         2458541.5805   	0.0057         	space          	GJ357b_1780_2019-02-27_TESS
GJ357b         2459256.9521   	0.0028         	space          	GJ357b_1962_2021-02-11_TESS
GJ357b         2459260.8851   	0.0026         	space          	GJ357b_1963_2021-02-15_TESS
GJ357b         2459264.8152   	0.0029         	space          	GJ357b_1964_2021-02-19_TESS
GJ357b         2459272.681    	0.0014         	space          	GJ357b_1966_2021-02-27_TESS
GJ357b         2459276.6097   	0.0013         	space          	GJ357b_1967_2021-03-03_TESS
GJ436b         2454222.617    	0.001          	literature     	2007A&A...472L..13G
GJ436b         2454225.26073  	0.00038        	literature     	2009ApJ...694.1559S
GJ436b         2454225.2612   	0.0003         	literature     	2009ApJ...694.1559S
GJ436b         2454235.8362   	0.0001         	literature     	2009ApJ...694.1559S
GJ436b         2454238.47969  	0.00046        	literature     	2009A&A...507..481C
GJ436b         2454238.480712 	3.9e-05        	literature     	2016MNRAS.459..789T
GJ436b         2454243.76728  	0.00026        	literature     	2009ApJ...694.1559S
GJ436b         2454246.4105   	0.0004         	literature     	2009ApJ...694.1559S
GJ436b         2454251.7003   	0.0003         	literature     	2009ApJ...694.1559S
GJ436b         2454280.78257  	0.00015        	literature     	2007A&A...471L..51G
GJ436b         2454439.41688  	0.00068        	literature     	2008A&A...487L..25B
GJ436b         2454444.70466  	0.00093        	literature     	2008A&A...487L..25B
GJ436b         2454447.3484   	0.0008         	literature     	2008A&A...487L..25B
GJ436b         2454463.21074  	0.00089        	literature     	2008A&A...487L..25B
GJ436b         2454468.49991  	0.00094        	literature     	2008A&A...487L..25B
